cod_localidad;localidad;cod_upz;upz;extension;poblacion;densidad
2;CHAPINERO;90;PARDO RUBIO;285,1990052;37191;130,4036807
3;SANTA FE;96;LOURDES;200,1371272;46301;231,3463806
4;SAN CRISTOBAL;50;LA GLORIA;385,8577593;102299;265,1210129
5;USME;61;CIUDAD USME;925,4704765;13496;14,58285309
6;TUNJUELITO;42;VENECIA;659,3770241;144420;219,0249201
7;BOSA;49;APOGEO;210,5837334;38125;181,0443731
8;KENNEDY;46;CASTILLA;503,545836;125411;249,0557781
8;KENNEDY;47;KENNEDY CENTRAL;337,2133958;96282;285,522465
8;KENNEDY;81;GRAN BRITALIA;179,9021039;70904;394,1254631
9;FONTIBON;75;FONTIBON;496,4574374;137489;276,9401557
10;ENGATIVA;72;BOLIVIA;474,5041594;86279;181,8298076
10;ENGATIVA;105;JARDIN BOTANICO;161,7052118;2464;15,23760411
13;TEUSAQUILLO;109;CIUDAD SALITRE ORIENTAL;180,5296569;17944;99,39641112
16;PUENTE ARANDA;43;SAN RAFAEL;329,3127138;76749;233,058114
18;RAFAEL URIBE URIBE;60;PARQUE ENTRENUBES;37,01979376;0;0
19;CIUDAD BOLIVAR;63;EL MOCHUELO;316,734956;1466;4,628475551
19;CIUDAD BOLIVAR;68;EL TESORO;210,862211;47624;225,85365
1;USAQUEN;12;TOBERIN;290,6631469;52018;178,9631763
1;USAQUEN;14;USAQUEN;492,6919833;41634;84,50310014
5;USME;59;ALFONSO LOPEZ;216,4934298;54095;249,8690148
9;FONTIBON;112;GRANJAS DE TECHO;477,2553541;22861;47,90098174
10;ENGATIVA;73;GARCES NAVAS;555,0407437;149186;268,7838716
11;SUBA;25;LA FLORESTA;393,4775862;25324;64,35944737
13;TEUSAQUILLO;100;GALERIAS;237,5681131;34344;144,5648557
16;PUENTE ARANDA;111;PUENTE ARANDA;356,44743;14658;41,12247352
19;CIUDAD BOLIVAR;69;ISMAEL PERDOMO;558,606026;163692;293,036581
1;USAQUEN;16;SANTA BARBARA;458,698321;51474;112,2175461
2;CHAPINERO;89;SAN ISIDRO - PATIOS;113,0182343;16201;143,3485499
