Incidente;Fecha;Departamento;Zona;Clase de sitio;Arma empleada;Edad;Sexo;Estado civil;Clase de empleado
2994;18/02/2014;CUNDINAMARCA;URBANA;APARTAMENTO EN CONJUNTO CERRADO;-;37;MASCULINO;CASADO;EMPLEADO PARTICULAR
20496;27/12/2014;CASANARE;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;35;MASCULINO;SOLTERO;DESEMPLEADO
7767;14/05/2014;SUCRE;URBANA;CASAS DE HABITACION;CONTUNDENTES;33;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
1411;23/01/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;33;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
9449;13/06/2014;META;URBANA;CASAS DE HABITACION;CORTANTES;42;FEMENINO;SOLTERO;INDEPENDIENTE
3972;07/03/2014;BOLÍVAR;URBANA;CASAS DE HABITACION;CONTUNDENTES;52;FEMENINO;UNION LIBRE;COMERCIANTE
20352;24/12/2014;ATLÁNTICO;URBANA;DENTRO DE LA VIVIENDA;CONTUNDENTES;20;MASCULINO;SOLTERO;ESTUDIANTE
6541;23/04/2014;BOYACÁ;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;39;FEMENINO;UNION LIBRE;EMPLEADO SALUD
13930;31/08/2014;META;RURAL;CASAS DE HABITACION;ARMA DE FUEGO;52;FEMENINO;CASADO;AMA DE CASA
17640;31/10/2014;ANTIOQUIA;RURAL;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;36;MASCULINO;UNION LIBRE;INDEPENDIENTE
17798;03/11/2014;CALDAS;URBANA;CASAS DE HABITACION;CONTUNDENTES;40;MASCULINO;CASADO;EMPLEADO PARTICULAR
5352;01/04/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;20;FEMENINO;SOLTERO;ESTUDIANTE
13240;19/08/2014;RISARALDA;URBANA;DENTRO DE LA VIVIENDA;ARMA BLANCA / CORTOPUNZANTE;50;MASCULINO;UNION LIBRE;INDEPENDIENTE
18398;14/11/2014;CUNDINAMARCA;URBANA;APARTAMENTO;SIN EMPLEO DE ARMAS;59;FEMENINO;CASADO;COMERCIANTE
14398;06/09/2014;MAGDALENA;URBANA;APARTAMENTO EN CONJUNTO CERRADO;CONTUNDENTES;37;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
17988;06/11/2014;HUILA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;44;MASCULINO;SOLTERO;AGRICULTOR
2008;03/02/2014;ANTIOQUIA;URBANA;FINCAS Y SIMILARES;CONTUNDENTES;27;FEMENINO;SOLTERO;INDEPENDIENTE
1295;21/01/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;27;FEMENINO;UNION LIBRE;COMERCIANTE
7892;16/05/2014;TOLIMA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;66;FEMENINO;SEPARADO;AMA DE CASA
2487;10/02/2014;CESAR;URBANA;CASAS DE HABITACION;ARMA DE FUEGO;47;MASCULINO;CASADO;EMPLEADO PARTICULAR
3240;22/02/2014;HUILA;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;73;MASCULINO;CASADO;INDEPENDIENTE
15719;27/09/2014;ANTIOQUIA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;33;MASCULINO;SOLTERO;INDEPENDIENTE
3946;06/03/2014;NARIÑO;RURAL;CASAS DE HABITACION;ARMA DE FUEGO;59;FEMENINO;SOLTERO;AMA DE CASA
2384;08/02/2014;NORTE DE SANTANDER;URBANA;COLEGIOS, ESCUELAS;-;56;FEMENINO;CASADO;INDEPENDIENTE
14958;15/09/2014;CUNDINAMARCA;URBANA;APARTAMENTO;SIN EMPLEO DE ARMAS;30;MASCULINO;SOLTERO;DESEMPLEADO
12919;14/08/2014;SUCRE;URBANA;VIAS PUBLICAS;CONTUNDENTES;53;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
13196;18/08/2014;SUCRE;RURAL;COLEGIOS, ESCUELAS;CONTUNDENTES;45;MASCULINO;UNION LIBRE;EMPLEADO EJERCITO
1168;19/01/2014;CUNDINAMARCA;URBANA;APARTAMENTO;-;39;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
9536;15/06/2014;QUINDÍO;URBANA;VIAS PUBLICAS;CORTANTES;50;FEMENINO;VIUDO;EMPLEADO PARTICULAR
15629;25/09/2014;HUILA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;46;MASCULINO;CASADO;INDEPENDIENTE
19138;29/11/2014;TOLIMA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;19;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
3880;05/03/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;73;MASCULINO;CASADO;PENSIONADO
16808;14/10/2014;HUILA;URBANA;CASAS DE HABITACION;CONTUNDENTES;36;FEMENINO;SOLTERO;EMPLEADO POLICIAL
14089;02/09/2014;CÓRDOBA;URBANA;CASAS DE HABITACION;CONTUNDENTES;74;MASCULINO;CASADO;EMPLEADO PARTICULAR
14996;15/09/2014;TOLIMA;URBANA;CASAS DE HABITACION;ARMA DE FUEGO;44;MASCULINO;UNION LIBRE;AMA DE CASA
270;05/01/2014;CUNDINAMARCA;URBANA;VIAS PUBLICAS;SIN EMPLEO DE ARMAS;50;MASCULINO;SOLTERO;INDEPENDIENTE
2826;15/02/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;32;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
14575;09/09/2014;GUAJIRA;URBANA;CASAS DE HABITACION;CONTUNDENTES;25;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
16888;16/10/2014;CHOCÓ;URBANA;VIAS PUBLICAS;CONTUNDENTES;27;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
20137;19/12/2014;VALLE;URBANA;APARTAMENTO;CONTUNDENTES;45;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
9893;22/06/2014;SANTANDER;URBANA;APARTAMENTO;CONTUNDENTES;41;MASCULINO;DIVORCIADO;EMPLEADO PARTICULAR
1241;20/01/2014;MAGDALENA;URBANA;CASAS DE HABITACION;CONTUNDENTES;49;FEMENINO;DIVORCIADO;EDUCADOR
4361;14/03/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;33;MASCULINO;SOLTERO;INDEPENDIENTE
7957;18/05/2014;ANTIOQUIA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;30;FEMENINO;CASADO;ESTUDIANTE
5174;28/03/2014;META;URBANA;DENTRO DE LA VIVIENDA;-;55;MASCULINO;CASADO;INDEPENDIENTE
17339;24/10/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;45;MASCULINO;CASADO;NO REPORTA
1919;01/02/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;36;FEMENINO;CASADO;INDEPENDIENTE
5846;10/04/2014;ATLÁNTICO;URBANA;DENTRO DE LA VIVIENDA;ARMA DE FUEGO;25;MASCULINO;SOLTERO;INDEPENDIENTE
18153;09/11/2014;CALDAS;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;45;MASCULINO;SOLTERO;COMERCIANTE
12807;13/08/2014;CASANARE;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;59;FEMENINO;SOLTERO;AMA DE CASA
1251;20/01/2014;SANTANDER;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;48;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
4001;07/03/2014;SANTANDER;URBANA;APARTAMENTO EN CONJUNTO CERRADO;CONTUNDENTES;26;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
3098;19/02/2014;TOLIMA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;52;MASCULINO;CASADO;EMPLEADO PARTICULAR
